iter	RMSE
0	1.403285969
1	1.328814702
2	1.26283669
3	1.203394765
4	1.14632576
5	1.097182297
6	1.051036449
7	1.005550776
8	0.9637301948
9	0.9263002453
10	0.8918164871
11	0.8603227125
12	0.8310776229
13	0.8040420393
14	0.7790461972
15	0.75641684
16	0.7346336678
17	0.715167658
18	0.6972656142
19	0.6813696482
20	0.6669477906
21	0.6539710273
22	0.6426932584
23	0.6318881351
24	0.621218427
25	0.6117870026
26	0.6031539699
27	0.5948299697
28	0.5879432548
29	0.5808722508
30	0.5739146941
31	0.5684203021
32	0.5637176728
33	0.558825014
34	0.5545921123
35	0.5493710585
36	0.5455707814
37	0.5416110916
38	0.5385034377
39	0.5353212458
40	0.5325472349
41	0.5298711014
42	0.5273338584
43	0.5249124857
44	0.5224018674
45	0.5202577191
46	0.5182786554
47	0.5161371449
48	0.5140848226
49	0.5126056484
50	0.5112178969
51	0.5093232483
52	0.5079146117
53	0.5062700065
54	0.5049929145
55	0.5037713021
56	0.5020022553
57	0.5006183525
58	0.4994086563
59	0.4982751147
60	0.4970266754
61	0.495717391
62	0.4944728366
63	0.4933000854
64	0.4923707446
65	0.4914595034
66	0.4902848011
67	0.4893057883
68	0.4885445681
69	0.4876395307
70	0.4866065145
71	0.4857438666
72	0.4849226268
73	0.4840276167
74	0.4826748832
75	0.4818397727
76	0.4808858172
77	0.4799261936
78	0.4790114052
79	0.4780541273
80	0.4770172538
81	0.4761710218
82	0.4753130971
83	0.4743851992
84	0.473590532
85	0.4730448064
86	0.4723503171
87	0.4717065417
88	0.4706300305
89	0.4699993312
90	0.469125354
91	0.4686428611
92	0.467742424
93	0.4671092841
94	0.4663028925
95	0.4652217948
96	0.4646307084
97	0.4640003139
98	0.4629540241
99	0.4624156681
100	0.4616377599
101	0.4610426265
102	0.4600771407
103	0.4593676437
104	0.4586149788
105	0.4580086985
106	0.4575816257
107	0.4569060798
108	0.4563171485
109	0.4555322778
110	0.4548055173
111	0.4543347337
112	0.4537476079
113	0.4529037744
114	0.4523068028
115	0.4517619011
116	0.451107557
117	0.4505750287
118	0.449864553
119	0.4487846621
120	0.4483326037
121	0.4474804142
122	0.4468186677
123	0.446089686
124	0.4456459683
125	0.4450566397
126	0.4443063721
127	0.4436891033
128	0.4429210856
129	0.4421744172
130	0.44176685
131	0.4411442332
132	0.4404140235
133	0.4398582083
134	0.4391265165
135	0.4385539039
136	0.4381017688
137	0.4376606222
138	0.4368254135
139	0.4361371756
140	0.4354195622
141	0.4346873502
142	0.4339299256
143	0.4334931197
144	0.4327928476
145	0.4320510474
146	0.4312934548
147	0.430593382
148	0.4300909299
149	0.4291151076
150	0.4284509582
151	0.4276405623
152	0.4269702603
153	0.4264861282
154	0.4257139291
155	0.4249834346
156	0.4243042371
157	0.4235007891
158	0.4228988209
159	0.4222764293
160	0.4215344828
161	0.420735841
162	0.4201114337
163	0.4194302968
164	0.4188365552
165	0.4182349173
166	0.4176835229
167	0.4169629079
168	0.4163781736
169	0.4155982258
170	0.4150180835
171	0.4142389755
172	0.4136360773
173	0.4130923953
174	0.4125512045
175	0.4118973952
176	0.4113313247
177	0.4108462482
178	0.4102130326
179	0.4094869361
180	0.4088330881
181	0.4081667222
182	0.4074691417
183	0.4069414827
184	0.406273988
185	0.4055387487
186	0.4049177799
187	0.4044144843
188	0.4036062153
189	0.402958345
190	0.4023172707
191	0.401629025
192	0.4011430862
193	0.4005186714
194	0.3996864541
195	0.3989882626
196	0.3984287356
197	0.3976635459
198	0.3967614337
199	0.3960970224
200	0.3956009101
201	0.3949534197
202	0.3944293454
203	0.3937639306
204	0.3930193963
205	0.3923637359
206	0.3919473608
207	0.391348118
208	0.3907027659
209	0.3900554055
210	0.3893422317
211	0.3888365409
212	0.3881962997
213	0.3875561621
214	0.3869523609
215	0.3863293446
216	0.3857026677
217	0.385368465
218	0.3849458823
219	0.3844338839
220	0.3837474867
221	0.3831178008
222	0.3826442232
223	0.3820130822
224	0.3815483409
225	0.3809566396
226	0.3801652489
227	0.3797938942
228	0.3793357109
229	0.378816589
230	0.3782748858
231	0.3776206177
232	0.3770314632
233	0.3764436006
234	0.3758467032
235	0.3751406355
236	0.3746161751
237	0.3741111276
238	0.3734891804
239	0.3729239919
240	0.3723492689
241	0.3716518725
242	0.3712996335
243	0.3707480093
244	0.3703042318
245	0.3696781193
246	0.3693128866
