iter	Passed	Remaining
0	25	25389
1	51	25596
2	80	26751
3	108	27039
4	136	27176
5	169	27999
6	199	28270
7	233	28944
8	296	32632
9	339	33619
10	373	33568
11	399	32905
12	432	32861
13	458	32266
14	484	31798
15	521	32076
16	547	31653
17	570	31128
18	592	30612
19	614	30126
20	636	29682
21	662	29434
22	689	29299
23	717	29180
24	751	29306
25	779	29202
26	801	28885
27	823	28578
28	847	28390
29	880	28454
30	908	28403
31	951	28777
32	987	28925
33	1019	28974
34	1046	28850
35	1078	28870
36	1107	28831
37	1136	28778
38	1170	28833
39	1192	28629
40	1219	28530
41	1243	28359
42	1268	28234
43	1298	28214
44	1333	28297
45	1364	28297
46	1394	28279
47	1421	28194
48	1444	28038
49	1474	28007
50	1518	28262
51	1545	28176
52	1573	28108
53	1603	28089
54	1630	28017
55	1658	27960
56	1699	28113
57	1738	28229
58	1765	28164
59	1791	28070
60	1823	28071
61	1851	28013
62	1881	27977
63	1905	27870
64	1929	27760
65	1953	27640
66	1981	27586
67	2008	27523
68	2035	27464
69	2065	27437
70	2087	27315
71	2110	27206
72	2133	27090
73	2160	27040
74	2191	27034
75	2216	26952
76	2249	26961
77	2275	26899
78	2299	26805
79	2320	26680
80	2342	26573
81	2366	26493
82	2395	26469
83	2424	26433
84	2450	26381
85	2485	26415
86	2522	26474
87	2553	26458
88	2593	26546
89	2626	26560
90	2659	26565
91	2695	26601
92	2750	26824
93	2783	26826
94	2819	26855
95	2850	26842
96	2876	26781
97	2913	26813
98	2951	26857
99	2979	26819
100	3015	26843
101	3050	26852
102	3077	26805
103	3104	26743
104	3137	26743
105	3179	26817
106	3215	26833
107	3241	26770
108	3269	26721
109	3301	26711
110	3327	26649
111	3354	26599
112	3387	26593
113	3416	26554
114	3446	26519
115	3476	26496
116	3509	26487
117	3538	26446
118	3566	26404
119	3596	26374
120	3627	26350
121	3655	26309
122	3686	26284
123	3724	26312
124	3752	26267
125	3783	26241
126	3834	26359
127	3865	26331
128	3904	26361
129	3936	26345
130	3966	26310
131	4005	26338
132	4034	26302
133	4061	26246
134	4091	26216
135	4126	26214
136	4158	26195
137	4188	26165
138	4228	26189
139	4259	26163
140	4290	26141
141	4321	26108
142	4350	26069
143	4380	26040
144	4408	25995
145	4440	25971
146	4467	25922
147	4499	25904
148	4531	25880
149	4561	25849
150	4600	25864
151	4627	25816
152	4654	25764
153	4688	25753
154	4714	25700
155	4740	25648
156	4774	25634
157	4806	25615
158	4835	25578
159	4863	25533
160	4898	25529
161	4935	25528
162	4963	25487
163	4998	25480
164	5035	25484
165	5094	25593
166	5132	25598
167	5182	25666
168	5223	25685
169	5263	25696
170	5292	25658
171	5322	25621
172	5354	25598
173	5380	25540
174	5401	25462
175	5422	25387
176	5458	25379
177	5481	25314
178	5505	25253
179	5538	25229
180	5561	25165
181	5590	25124
182	5622	25100
183	5645	25035
184	5673	24992
185	5700	24949
186	5725	24893
187	5754	24852
188	5787	24834
189	5811	24774
190	5834	24712
191	5860	24662
192	5888	24622
193	5917	24584
194	5947	24552
195	5976	24513
196	6000	24460
197	6026	24410
198	6050	24352
199	6072	24290
200	6099	24244
201	6125	24199
202	6153	24159
203	6177	24105
204	6209	24080
205	6232	24024
206	6256	23966
207	6278	23907
208	6305	23863
209	6333	23825
210	6357	23773
211	6377	23704
212	6421	23725
213	6451	23694
214	6479	23657
215	6509	23626
216	6539	23597
217	6563	23543
218	6589	23499
219	6615	23455
220	6646	23427
221	6678	23404
222	6703	23357
223	6738	23343
224	6766	23307
225	6795	23273
226	6821	23227
227	6841	23165
228	6867	23123
229	6890	23067
230	6917	23028
231	6945	22990
232	6976	22966
233	7000	22916
234	7022	22861
235	7054	22838
236	7079	22792
237	7107	22756
238	7131	22706
239	7158	22669
240	7186	22631
241	7212	22589
242	7242	22562
243	7268	22519
244	7305	22512
245	7334	22481
246	7362	22445
247	7397	22431
248	7424	22391
249	7449	22347
250	7473	22301
251	7520	22321
252	7549	22290
253	7576	22251
254	7606	22222
255	7634	22189
256	7674	22186
257	7700	22145
258	7725	22103
259	7758	22080
260	7795	22073
261	7825	22044
262	7858	22022
263	7887	21988
264	7921	21972
265	7947	21929
266	7974	21893
267	7996	21842
268	8020	21794
269	8049	21763
270	8074	21720
271	8101	21683
272	8144	21688
273	8171	21650
274	8200	21619
275	8233	21596
276	8266	21577
277	8293	21539
278	8327	21520
279	8351	21475
280	8381	21446
281	8412	21420
282	8445	21397
283	8475	21367
284	8505	21337
285	8536	21310
286	8571	21294
287	8597	21255
288	8638	21251
289	8677	21244
290	8717	21240
291	8760	21240
292	8824	21292
293	8861	21280
294	8918	21314
295	8943	21271
296	8975	21245
297	9010	21227
298	9042	21200
299	9069	21161
